hexOpcode,decOpcode,mnemonic,maxCycles,minCycles
00,000,nop,3,2
01,001,inte,4,3
02,002,intd,4,3
03,003,ldi-ac-[byte],6,5
04,004,ld-ac-[word],10,9
05,005,ldi-xh-[byte],6,5
06,006,ld-xh-[word],10,9
07,007,ldi-yl-[byte],6,5
08,008,ld-yl-[word],10,9
09,009,ldi-yh-[byte],6,5
0a,010,ld-yh-[word],10,9
0b,011,ldi-fr-[byte],6,5
0c,012,ld-fr-[word],10,9
0d,013,ldi-zl-[byte],6,5
0e,014,ld-zl-[word],10,9
0f,015,ldi-zh-[byte],6,5
10,016,ld-zh-[word],10,9
11,017,ldi-x-[word],7,6
12,018,ldi-y-[word],7,6
13,019,ldi-z-[word],7,6
14,020,ldi-sp-[word],7,6
15,021,ldx-ac,6,5
16,022,ldx-xh,6,5
17,023,ldx-yl,6,5
18,024,ldx-yh,6,5
19,025,ldx-fr,6,5
1a,026,st-[word]-ac,10,9
1b,027,st-[word]-xh,10,9
1c,028,inth,11,11
1d,029,st-[word]-yl,10,9
1e,030,st-[word]-yh,10,9
1f,031,st-[word]-fr,10,9
20,032,st-[word]-zl,10,9
21,033,st-[word]-zh,10,9
22,034,stx-ac,6,5
23,035,stx-xh,6,5
24,036,stx-yl,6,5
25,037,stx-yh,6,5
26,038,stx-fr,6,5
27,039,mov-xh-ac,4,3
28,040,mov-yl-ac,4,3
29,041,mov-yh-ac,4,3
2a,042,mov-fr-ac,4,3
2b,043,mov-zl-ac,4,3
2c,044,mov-zh-ac,4,3
2d,045,mov-ac-xh,4,3
2e,046,mov-yl-xh,4,3
2f,047,mov-yh-xh,4,3
30,048,mov-fr-xh,4,3
31,049,mov-zl-xh,4,3
32,050,mov-zh-xh,4,3
33,051,mov-ac-yl,4,3
34,052,mov-xh-yl,4,3
35,053,mov-yh-yl,4,3
36,054,mov-fr-yl,4,3
37,055,mov-zl-yl,4,3
38,056,mov-zh-yl,4,3
39,057,mov-ac-yh,4,3
3a,058,mov-xh-yh,4,3
3b,059,mov-yl-yh,4,3
3c,060,mov-fr-yh,4,3
3d,061,mov-zl-yh,4,3
3e,062,mov-zh-yh,4,3
3f,063,mov-ac-fr,4,3
40,064,mov-xh-fr,4,3
41,065,mov-yl-fr,4,3
42,066,mov-yh-fr,4,3
43,067,mov-zl-fr,4,3
44,068,mov-zh-fr,4,3
45,069,mov-ac-zl,4,3
46,070,mov-xh-zl,4,3
47,071,mov-yl-zl,4,3
48,072,mov-yh-zl,4,3
49,073,mov-fr-zl,4,3
4a,074,mov-zh-zl,4,3
4b,075,mov-ac-zh,4,3
4c,076,mov-xh-zh,4,3
4d,077,mov-yl-zh,4,3
4e,078,mov-yh-zh,4,3
4f,079,mov-fr-zh,4,3
50,080,mov-zl-zh,4,3
51,081,mov-sp-z,5,4
52,082,mov-z-sp,5,4
53,083,mov-z-pc,5,4
54,084,push-ac,6,5
55,085,push-xh,6,5
56,086,push-yl,6,5
57,087,push-yh,6,5
58,088,push-fr,6,5
59,089,push-zl,6,5
5a,090,push-zh,6,5
5b,091,push-x,7,6
5c,092,push-y,7,6
5d,093,push-z,7,6
5e,094,push-pc,7,6
5f,095,pop-ac,7,6
60,096,pop-xh,7,6
61,097,pop-yl,7,6
62,098,pop-yh,7,6
63,099,pop-fr,7,6
64,100,pop-zl,7,6
65,101,pop-zh,7,6
66,102,pop-x,8,7
67,103,pop-y,8,7
68,104,pop-z,8,7
69,105,jnz-[word],9,2
6a,106,jnzx,5,2
6b,107,jz-[word],9,2
6c,108,jzx,5,2
6d,109,jnc-[word],9,2
6e,110,jncx,5,2
6f,111,jc-[word],9,2
70,112,jcx,5,2
71,113,jp-[word],9,2
72,114,jpx,5,2
73,115,jm-[word],9,2
74,116,jmx,5,2
75,117,jmp-[word],9,8
76,118,jmpx,5,4
77,119,cnz-[word],13,2
78,120,cz-[word],13,2
79,121,cnc-[word],13,2
7a,122,cc-[word],13,2
7b,123,cp-[word],13,2
7c,124,cm-[word],13,2
7d,125,call-[word],13,12
7e,126,rnz,8,2
7f,127,rz,8,2
80,128,rnc,8,2
81,129,rc,8,2
82,130,rp,8,2
83,131,rm,8,2
84,132,ret,8,7
85,133,add-ac,5,4
86,134,add-xh,5,4
87,135,add-yl,5,4
88,136,add-yh,5,4
89,137,add-zl,5,4
8a,138,add-zh,5,4
8b,139,addi-[byte],7,6
8c,140,sub-ac,5,4
8d,141,sub-xh,5,4
8e,142,sub-yl,5,4
8f,143,sub-yh,5,4
90,144,sub-zl,5,4
91,145,sub-zh,5,4
92,146,subi-[byte],7,6
93,147,nand-ac,5,4
94,148,nand-xh,5,4
95,149,nand-yl,5,4
96,150,nand-yh,5,4
97,151,nand-zl,5,4
98,152,nand-zh,5,4
99,153,nandi-[byte],7,6
9a,154,xor-ac,5,4
9b,155,xor-xh,5,4
9c,156,xor-yl,5,4
9d,157,xor-yh,5,4
9e,158,xor-zl,5,4
9f,159,xor-zh,5,4
a0,160,xori-[byte],7,6
a1,161,nor-ac,5,4
a2,162,nor-xh,5,4
a3,163,nor-yl,5,4
a4,164,nor-yh,5,4
a5,165,nor-zl,5,4
a6,166,nor-zh,5,4
a7,167,nori-[byte],7,6
a8,168,adc-ac,5,4
a9,169,adc-xh,5,4
aa,170,adc-yl,5,4
ab,171,adc-yh,5,4
ac,172,adc-zl,5,4
ad,173,adc-zh,5,4
ae,174,adci-[byte],7,6
af,175,sbb-ac,5,4
b0,176,sbb-xh,5,4
b1,177,sbb-yl,5,4
b2,178,sbb-yh,5,4
b3,179,sbb-zl,5,4
b4,180,sbb-zh,5,4
b5,181,sbbi-[byte],7,6
b6,182,inc-ac,5,4
b7,183,inc-xh,5,4
b8,184,inc-yl,5,4
b9,185,inc-yh,5,4
ba,186,inc-zl,5,4
bb,187,inc-zh,5,4
bc,188,dec-ac,5,4
bd,189,dec-xh,5,4
be,190,dec-yl,5,4
bf,191,dec-yh,5,4
c0,192,dec-zl,5,4
c1,193,dec-zh,5,4
c2,194,icc-ac,5,4
c3,195,icc-xh,5,4
c4,196,icc-yl,5,4
c5,197,icc-yh,5,4
c6,198,icc-zl,5,4
c7,199,icc-zh,5,4
c8,200,dcb-ac,5,4
c9,201,dcb-xh,5,4
ca,202,dcb-yl,5,4
cb,203,dcb-yh,5,4
cc,204,dcb-zl,5,4
cd,205,dcb-zh,5,4
ce,206,not-ac,5,4
cf,207,not-xh,5,4
d0,208,not-yl,5,4
d1,209,not-yh,5,4
d2,210,not-zl,5,4
d3,211,not-zh,5,4
d4,212,cmp-ac,5,4
d5,213,cmp-xh,5,4
d6,214,cmp-yl,5,4
d7,215,cmp-yh,5,4
d8,216,cmp-zl,5,4
d9,217,cmp-zh,5,4
da,218,cmpi-[byte],7,6
db,219,shl,4,3
dc,220,shr,4,3
dd,221,hlt,1,1
