time,not_read,not_write,address,data,clk
676,1,1,0,225,0
1512,1,1,0,225,0
2404,1,1,0,225,0
3284,1,1,0,225,0
4476,1,1,0,225,0
6008,1,1,0,225,0
7536,1,1,0,160,0
9068,1,1,0,0,0
10436,1,1,0,0,0
11872,1,1,0,0,0
13324,1,1,0,0,0
14764,1,1,0,0,0
16208,1,1,0,0,0
17652,1,1,0,0,0
19096,1,1,0,161,0
20712,1,1,0,225,0
22328,1,1,0,225,0
23944,1,1,0,225,0
25556,1,1,0,225,0
27172,1,1,0,160,0
28796,1,1,0,0,0
30232,1,1,0,0,0
31676,1,1,0,0,0
33124,1,1,0,0,0
34568,1,1,0,0,0
36020,1,1,0,0,0
37456,1,1,0,0,0
38904,1,1,0,161,0
40516,1,1,0,225,0
42140,1,1,0,225,0
43748,1,1,0,225,0
45364,1,1,0,225,0
46976,1,1,0,161,0
48592,1,1,0,0,0
50040,1,1,0,0,0
51484,1,1,0,0,0
52928,1,1,0,0,0
54380,1,1,0,0,0
55816,1,1,0,0,0
57264,1,1,0,0,0
58708,1,1,0,161,0
60324,1,1,0,225,0
61936,1,1,0,225,0
63560,1,1,0,225,0
65168,1,1,0,225,0
66788,1,1,0,161,0
68396,1,1,0,0,0
69848,1,1,0,0,0
71288,1,1,0,0,0
72740,1,1,0,0,0
74176,1,1,0,0,0
75624,1,1,0,0,0
77068,1,1,0,0,0
78512,1,1,0,129,0
80128,1,1,0,225,0
81744,1,1,0,225,0
83356,1,1,0,225,0
84972,1,1,0,225,0
86588,1,1,0,225,0
88208,1,1,0,0,0
89648,1,1,0,0,0
91092,1,1,0,0,0
92540,1,1,0,0,0
93984,1,1,0,0,0
95436,1,1,0,0,0
96872,1,1,0,0,0
98324,1,1,0,128,0
99932,1,1,0,225,0
101556,1,1,0,225,0
103248,1,1,0,225,0
104948,1,1,0,225,0
106656,1,1,0,160,0
108348,1,1,0,0,0
109880,1,1,0,0,0
111408,1,1,0,0,0
112936,1,1,0,0,0
114468,1,1,0,0,0
116000,1,1,0,0,0
117528,1,1,0,0,0
119060,1,1,0,161,0
120760,1,1,0,225,0
122460,1,1,0,225,0
124156,1,1,0,225,0
125860,1,1,0,225,0
127556,1,1,0,0,0
129096,1,1,0,0,0
130620,1,1,0,0,0
132156,1,1,0,0,0
133680,1,1,0,0,0
135216,1,1,0,0,0
136740,1,1,0,0,0
138276,1,1,0,161,0
139968,1,1,0,225,0
141668,1,1,0,225,0
143376,1,1,0,225,0
145068,1,1,0,225,0
146768,1,1,0,128,0
148468,1,1,0,0,0
150000,1,1,0,0,0
151528,1,1,0,0,0
153056,1,1,0,0,0
154588,1,1,0,0,0
156120,1,1,0,0,0
157648,1,1,0,0,0
159180,1,1,0,161,0
160884,1,1,0,225,0
162580,1,1,0,225,0
164276,1,1,0,225,0
165984,1,1,0,225,0
167676,1,1,0,0,0
169208,1,1,0,0,0
170740,1,1,0,0,0
172268,1,1,0,0,0
173796,1,1,0,0,0
175336,1,1,0,0,0
176860,1,1,0,0,0
178392,1,1,0,161,0
180088,1,1,0,225,0
181788,1,1,0,225,0
183496,1,1,0,225,0
185188,1,1,0,225,0
186888,1,1,0,0,0
188424,1,1,0,0,0
189948,1,1,0,0,0
191480,1,1,0,0,0
193008,1,1,0,0,0
194540,1,1,0,0,0
196068,1,1,0,0,0
197600,1,1,0,128,0
199300,1,1,0,161,0
201000,1,1,0,225,0
202696,1,1,0,225,0
204400,1,1,0,225,0
206100,1,1,0,160,0
207800,1,1,0,0,0
209328,1,1,0,0,0
210860,1,1,0,0,0
212388,1,1,0,0,0
213920,1,1,0,0,0
215448,1,1,0,0,0
216980,1,1,0,0,0
218508,1,1,0,225,0
220216,1,1,0,225,0
221908,1,1,0,225,0
223608,1,1,0,225,0
225316,1,1,0,225,0
227008,1,1,0,0,0
228544,1,1,0,0,0
230068,1,1,0,0,0
231604,1,1,0,0,0
233128,1,1,0,0,0
234664,1,1,0,0,0
236188,1,1,0,0,0
237724,1,1,0,161,0
239416,1,1,0,225,0
241116,1,1,0,225,0
242824,1,1,0,225,0
244520,1,1,0,225,0
246216,1,1,0,128,0
247924,1,1,0,0,0
249448,1,1,0,0,0
250984,1,1,0,0,0
252508,1,1,0,0,0
254044,1,1,0,0,0
255568,1,1,0,0,0
257104,1,1,0,129,0
258800,1,1,0,225,0
260500,1,1,0,225,0
262204,1,1,0,225,0
263896,1,1,0,225,0
265596,1,1,0,161,0
267304,1,1,0,0,0
268828,1,1,0,0,0
270364,1,1,0,0,0
271888,1,1,0,0,0
273424,1,1,0,0,0
274948,1,1,0,0,0
276480,1,1,0,0,0
278008,1,1,0,225,0
279712,1,1,0,225,0
281408,1,1,0,225,0
283108,1,1,0,225,0
284812,1,1,0,225,0
286508,1,1,0,0,0
288040,1,1,0,0,0
289568,1,1,0,0,0
291100,1,1,0,0,0
292628,1,1,0,0,0
294160,1,1,0,0,0
295688,1,1,0,0,0
297216,1,1,0,161,0
298916,1,1,0,225,0
300620,1,1,0,225,0
302320,1,1,0,225,0
304016,1,1,0,225,0
305716,1,1,0,128,0
307424,1,1,0,0,0
308948,1,1,0,0,0
310484,1,1,0,0,0
312008,1,1,0,0,0
313544,1,1,0,0,0
315068,1,1,0,0,0
316604,1,1,0,1,0
318128,1,1,0,225,0
319828,1,1,0,225,0
321528,1,1,0,225,0
323228,1,1,0,225,0
324928,1,1,0,225,0
326628,1,1,0,0,0
328156,1,1,0,0,0
329688,1,1,0,0,0
331220,1,1,0,0,0
332748,1,1,0,0,0
334276,1,1,0,0,0
335808,1,1,0,0,0
337336,1,1,0,161,0
339044,1,1,0,225,0
340740,1,1,0,225,0
342440,1,1,0,225,0
344144,1,1,0,225,0
345836,1,1,0,0,0
347368,1,1,0,0,0
348896,1,1,0,0,0
350436,1,1,0,0,0
351956,1,1,0,0,0
353496,1,1,0,0,0
355016,1,1,0,0,0
356552,1,1,0,129,0
358248,1,1,0,225,0
359948,1,1,0,225,0
361652,1,1,0,225,0
363348,1,1,0,225,0
365048,1,1,0,161,0
366756,1,1,0,0,0
368276,1,1,0,0,0
369816,1,1,0,0,0
371340,1,1,0,0,0
372876,1,1,0,0,0
374400,1,1,0,0,0
375936,1,1,0,0,0
377460,1,1,0,225,0
379160,1,1,0,225,0
380860,1,1,0,225,0
382556,1,1,0,225,0
384260,1,1,0,225,0
385960,1,1,0,0,0
387488,1,1,0,0,0
389020,1,1,0,0,0
390548,1,1,0,0,0
392076,1,1,0,0,0
393608,1,1,0,0,0
395136,1,1,0,0,0
396668,1,1,0,161,0
398376,1,1,0,225,0
400068,1,1,0,225,0
401768,1,1,0,225,0
403472,1,1,0,225,0
405168,1,1,0,0,0
406704,1,1,0,0,0
408228,1,1,0,0,0
409764,1,1,0,0,0
411288,1,1,0,0,0
412824,1,1,0,0,0
414348,1,1,0,0,0
415884,1,1,0,0,0
417408,1,1,0,225,0
419108,1,1,0,225,0
420808,1,1,0,225,0
422508,1,1,0,225,0
424208,1,1,0,225,0
425908,1,1,0,0,0
427440,1,1,0,0,0
428968,1,1,0,0,0
430496,1,1,0,0,0
432028,1,1,0,0,0
433556,1,1,0,0,0
435088,1,1,0,0,0
436620,1,1,0,161,0
438324,1,1,0,225,0
440020,1,1,0,225,0
441716,1,1,0,225,0
443424,1,1,0,225,0
445116,1,1,0,0,0
446656,1,1,0,0,0
448176,1,1,0,0,0
449716,1,1,0,0,0
451236,1,1,0,0,0
452776,1,1,0,0,0
454296,1,1,0,0,0
455832,1,1,0,1,0
457360,1,1,0,225,0
459060,1,1,0,225,0
460760,1,1,0,225,0
462460,1,1,0,225,0
464156,1,1,0,225,0
465856,1,1,0,0,0
467388,1,1,0,0,0
468916,1,1,0,0,0
470448,1,1,0,0,0
